model,config_id,seed_name,run_id,checkpoint_type,relative_path,size_bytes,sha256,formal_protocol_version,config_hash,run_seed
GCN,CFG04,FINAL_01,GCN__CFG04__FINAL_01,best,artifacts/checkpoints/GCN__CFG04__FINAL_01/best.pt,2193398,83dd783879c0b793eab34b981f5db3db9ee2e8e037e4736e41a5b052032fd2dd,formal_training_protocol_v1,a5d9eaf2e64df288003515d1a800207726363cee5352d45450611af3b629567e,2057969055
GCN,CFG04,FINAL_02,GCN__CFG04__FINAL_02,best,artifacts/checkpoints/GCN__CFG04__FINAL_02/best.pt,2193398,89cf4d0f38fd35e34b730178f56c5c027c6dd3018262b98b822b8339b11d63e5,formal_training_protocol_v1,a5d9eaf2e64df288003515d1a800207726363cee5352d45450611af3b629567e,624619547
GCN,CFG04,FINAL_03,GCN__CFG04__FINAL_03,best,artifacts/checkpoints/GCN__CFG04__FINAL_03/best.pt,2193398,c2a4355c8cc67409463b7fcdb4e7bb8ab9b83e65a9df8cee4dfe335bec4ec1f5,formal_training_protocol_v1,a5d9eaf2e64df288003515d1a800207726363cee5352d45450611af3b629567e,41277243
GCN,CFG04,FINAL_04,GCN__CFG04__FINAL_04,best,artifacts/checkpoints/GCN__CFG04__FINAL_04/best.pt,2193398,fc98f2df9169982100c79c6de91ce977a4774659024eb79c06acd8f22f88e1ab,formal_training_protocol_v1,a5d9eaf2e64df288003515d1a800207726363cee5352d45450611af3b629567e,1947791015
GCN,CFG04,FINAL_05,GCN__CFG04__FINAL_05,best,artifacts/checkpoints/GCN__CFG04__FINAL_05/best.pt,2193398,0ed73cdb65a9d753e4ef4776f57b8c5cf7897f217680baf290d7304cf3b2c12b,formal_training_protocol_v1,a5d9eaf2e64df288003515d1a800207726363cee5352d45450611af3b629567e,911750254
GraphSAGE,CFG04,FINAL_01,GraphSAGE__CFG04__FINAL_01,best,artifacts/checkpoints/GraphSAGE__CFG04__FINAL_01/best.pt,2325208,709daac2303c84b82738a0f55cefa3240bbaa637934d0ccf2a7d51aea7b78c33,formal_training_protocol_v1,978ad1515e1ad0964482082c0a5dce17e436ce512bc84d2ab51b65960bf7de08,2057969055
GraphSAGE,CFG04,FINAL_02,GraphSAGE__CFG04__FINAL_02,best,artifacts/checkpoints/GraphSAGE__CFG04__FINAL_02/best.pt,2325208,288e8c6d69488a28838c3e15cd161326d875578233b67e9e8033eba8c860ed68,formal_training_protocol_v1,978ad1515e1ad0964482082c0a5dce17e436ce512bc84d2ab51b65960bf7de08,624619547
GraphSAGE,CFG04,FINAL_03,GraphSAGE__CFG04__FINAL_03,best,artifacts/checkpoints/GraphSAGE__CFG04__FINAL_03/best.pt,2325208,e933271d0cddd467f33cea0617326b4e500426ea7a88204806926cdd3b67cf34,formal_training_protocol_v1,978ad1515e1ad0964482082c0a5dce17e436ce512bc84d2ab51b65960bf7de08,41277243
GraphSAGE,CFG04,FINAL_04,GraphSAGE__CFG04__FINAL_04,best,artifacts/checkpoints/GraphSAGE__CFG04__FINAL_04/best.pt,2325208,027c93cbf13e68ccf7b13066e272a2b0fc9e554bdd4ce8d1279c783c612799ba,formal_training_protocol_v1,978ad1515e1ad0964482082c0a5dce17e436ce512bc84d2ab51b65960bf7de08,1947791015
GraphSAGE,CFG04,FINAL_05,GraphSAGE__CFG04__FINAL_05,best,artifacts/checkpoints/GraphSAGE__CFG04__FINAL_05/best.pt,2325208,b62c2af5a2df798304a8eec2c6b22bba1f02f49f56efedb89bc3686ea4692e3a,formal_training_protocol_v1,978ad1515e1ad0964482082c0a5dce17e436ce512bc84d2ab51b65960bf7de08,911750254
HeteroSAGE,CFG04,FINAL_01,HeteroSAGE__CFG04__FINAL_01,best,artifacts/checkpoints/HeteroSAGE__CFG04__FINAL_01/best.pt,3918524,f54a47809028d83f2d8b611de7a0c0b746bdaaa15ba7e58f646b49d6ec744945,formal_training_protocol_v1,1dc2d38f0af328a83d52e6294713416abeaa43fa1fe4b8a8a4f7efc91aac6b2d,2057969055
HeteroSAGE,CFG04,FINAL_02,HeteroSAGE__CFG04__FINAL_02,best,artifacts/checkpoints/HeteroSAGE__CFG04__FINAL_02/best.pt,3918524,9fab0a30d3889d65099bf25c0df98c549a0b519e0afd4c8296fa2ad9c0945fe0,formal_training_protocol_v1,1dc2d38f0af328a83d52e6294713416abeaa43fa1fe4b8a8a4f7efc91aac6b2d,624619547
HeteroSAGE,CFG04,FINAL_03,HeteroSAGE__CFG04__FINAL_03,best,artifacts/checkpoints/HeteroSAGE__CFG04__FINAL_03/best.pt,3918524,7f3fc06f84ce63a8643749c9ba0ef8fc02c28cf843795ba501425106dece4e77,formal_training_protocol_v1,1dc2d38f0af328a83d52e6294713416abeaa43fa1fe4b8a8a4f7efc91aac6b2d,41277243
HeteroSAGE,CFG04,FINAL_04,HeteroSAGE__CFG04__FINAL_04,best,artifacts/checkpoints/HeteroSAGE__CFG04__FINAL_04/best.pt,3918524,aa79d00c12ad44f22dd5ef50c3438a30e89ef451130cc0edc2462f4e482185a7,formal_training_protocol_v1,1dc2d38f0af328a83d52e6294713416abeaa43fa1fe4b8a8a4f7efc91aac6b2d,1947791015
HeteroSAGE,CFG04,FINAL_05,HeteroSAGE__CFG04__FINAL_05,best,artifacts/checkpoints/HeteroSAGE__CFG04__FINAL_05/best.pt,3918524,654f2a297772f477927325f37d7a5c3ef7f5bb37c9f6db66da79986fd1cbb30a,formal_training_protocol_v1,1dc2d38f0af328a83d52e6294713416abeaa43fa1fe4b8a8a4f7efc91aac6b2d,911750254
RGCN,CFG04,FINAL_01,RGCN__CFG04__FINAL_01,best,artifacts/checkpoints/RGCN__CFG04__FINAL_01/best.pt,2719098,db974e7e4fe7e5c4b42c3a089c42ad8888c34c0648635b83dda060ccbc4e6107,formal_training_protocol_v1,f4d4aa7f570347adcb9db3c7f30627d97aa3a8cde574199e8f04f1bd4509934c,2057969055
RGCN,CFG04,FINAL_02,RGCN__CFG04__FINAL_02,best,artifacts/checkpoints/RGCN__CFG04__FINAL_02/best.pt,2719098,dd0ae585428620a1adf3f50f4729efe0690655bf7acf03be08e63fc5420c5658,formal_training_protocol_v1,f4d4aa7f570347adcb9db3c7f30627d97aa3a8cde574199e8f04f1bd4509934c,624619547
RGCN,CFG04,FINAL_03,RGCN__CFG04__FINAL_03,best,artifacts/checkpoints/RGCN__CFG04__FINAL_03/best.pt,2719098,fa296cccbdc06df88bf8429518368ae09e44ceea977ff02fd8d9b74410b25175,formal_training_protocol_v1,f4d4aa7f570347adcb9db3c7f30627d97aa3a8cde574199e8f04f1bd4509934c,41277243
RGCN,CFG04,FINAL_04,RGCN__CFG04__FINAL_04,best,artifacts/checkpoints/RGCN__CFG04__FINAL_04/best.pt,2719098,163a9c8fb56d797f7b021eb46dba1fd6d861395355f9913f463fe205013c2bbc,formal_training_protocol_v1,f4d4aa7f570347adcb9db3c7f30627d97aa3a8cde574199e8f04f1bd4509934c,1947791015
RGCN,CFG04,FINAL_05,RGCN__CFG04__FINAL_05,best,artifacts/checkpoints/RGCN__CFG04__FINAL_05/best.pt,2719098,f7b3ba9f4c7258c735b64c9ff32c55773e1020b1fce52a6684049e8705b6962c,formal_training_protocol_v1,f4d4aa7f570347adcb9db3c7f30627d97aa3a8cde574199e8f04f1bd4509934c,911750254
TCMRGAT,CFG04,FINAL_01,TCMRGAT__CFG04__FINAL_01,best,artifacts/checkpoints/TCMRGAT__CFG04__FINAL_01/best.pt,3020334,791e7faea567e232a357f7f483f612890b81ce284d09b9723b1dd279665455c6,formal_training_protocol_v1,946b4d48442bdd3fc24addedd3a5561e462b8227c03238450f13d44ad410ad49,2057969055
TCMRGAT,CFG04,FINAL_02,TCMRGAT__CFG04__FINAL_02,best,artifacts/checkpoints/TCMRGAT__CFG04__FINAL_02/best.pt,3020334,779271ad83c990acbc1b6ca03811ef47f6fceba0ab33a7c1db32c5e421b687d1,formal_training_protocol_v1,946b4d48442bdd3fc24addedd3a5561e462b8227c03238450f13d44ad410ad49,624619547
TCMRGAT,CFG04,FINAL_03,TCMRGAT__CFG04__FINAL_03,best,artifacts/checkpoints/TCMRGAT__CFG04__FINAL_03/best.pt,3020334,90ad5f8e01b9a5c6802416e34518c720e8a827a58d5c6750370141f92554a00d,formal_training_protocol_v1,946b4d48442bdd3fc24addedd3a5561e462b8227c03238450f13d44ad410ad49,41277243
TCMRGAT,CFG04,FINAL_04,TCMRGAT__CFG04__FINAL_04,best,artifacts/checkpoints/TCMRGAT__CFG04__FINAL_04/best.pt,3020334,0c608718f4c0b7647e552420a82a54866524c8c0fb6a8c3fb53a31942823a665,formal_training_protocol_v1,946b4d48442bdd3fc24addedd3a5561e462b8227c03238450f13d44ad410ad49,1947791015
TCMRGAT,CFG04,FINAL_05,TCMRGAT__CFG04__FINAL_05,best,artifacts/checkpoints/TCMRGAT__CFG04__FINAL_05/best.pt,3020334,6b5ff4b895aee278b161929ad71c70386ef70b6d5901243786717dfa168d26bc,formal_training_protocol_v1,946b4d48442bdd3fc24addedd3a5561e462b8227c03238450f13d44ad410ad49,911750254
