event_id,pass_number,operation,group_id_1,group_id_2,source_partition,destination_partition,objective_before,objective_after,accepted
1,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_0620410523cb,train|validation,validation|train,"[0,0,""150614/431585"",""4650223/1255965"",""394/2365"",""a6f778cef58ac427fd9464b711d0ff7728fd4122baccd172701357a2573e0e8c""]","[0,0,""150604/431585"",""4616743/1255965"",""394/2365"",""bfa03ee0851d253daf88f01b1ab493b7955c3edc11175e8f1fe1817afe036bff""]",True
2,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_07989d057eb7,validation|train,train|validation,"[0,0,""150604/431585"",""4616743/1255965"",""394/2365"",""bfa03ee0851d253daf88f01b1ab493b7955c3edc11175e8f1fe1817afe036bff""]","[0,0,""150124/431585"",""132050347/36422985"",""394/2365"",""a456a699bb2e0ad5f565dee7eead2b75f17e44aabfd1beede3fb40c73f2717e4""]",True
3,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_0f1b5d1e0e26,train|validation,validation|train,"[0,0,""150124/431585"",""132050347/36422985"",""394/2365"",""a456a699bb2e0ad5f565dee7eead2b75f17e44aabfd1beede3fb40c73f2717e4""]","[0,0,""150034/431585"",""131873302/36422985"",""394/2365"",""d4c1aae5e2199019ac9a122d83102f1568bde7a138148fd549f97e8d6df825fb""]",True
4,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_107f6ad73c18,validation|train,train|validation,"[0,0,""150034/431585"",""131873302/36422985"",""394/2365"",""d4c1aae5e2199019ac9a122d83102f1568bde7a138148fd549f97e8d6df825fb""]","[0,0,""149384/431585"",""43346034/12140995"",""394/2365"",""58e9d58b953ca12b2a1a5daa79dd91dee04a0e4af3827f1f297bc42d8ef31450""]",True
5,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_11f2a588f305,train|validation,validation|train,"[0,0,""149384/431585"",""43346034/12140995"",""394/2365"",""58e9d58b953ca12b2a1a5daa79dd91dee04a0e4af3827f1f297bc42d8ef31450""]","[0,0,""13574/39235"",""43287019/12140995"",""394/2365"",""22c114ca54de8c5d15bae830a333fdd6e8ed82f52d09c14487442cf80ea07878""]",True
6,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_123c28dcb2a4,validation|train,train|validation,"[0,0,""13574/39235"",""43287019/12140995"",""394/2365"",""22c114ca54de8c5d15bae830a333fdd6e8ed82f52d09c14487442cf80ea07878""]","[0,0,""21222/61655"",""128025857/36422985"",""394/2365"",""0e10fcca0de572de484aa06528a5754a48748cec13d54030fb94018898e2443c""]",True
7,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_13183e8a372a,train|test,test|train,"[0,0,""21222/61655"",""128025857/36422985"",""394/2365"",""0e10fcca0de572de484aa06528a5754a48748cec13d54030fb94018898e2443c""]","[0,0,""21212/61655"",""127848812/36422985"",""394/2365"",""51e61ecc3a58b7918edcfb031cf8a1357c161ab87ed927cf7147683ec0eca496""]",True
8,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_1431584e10f4,test|train,train|test,"[0,0,""21212/61655"",""127848812/36422985"",""394/2365"",""51e61ecc3a58b7918edcfb031cf8a1357c161ab87ed927cf7147683ec0eca496""]","[0,0,""146214/431585"",""11633861839/3350914620"",""394/2365"",""8cab37c2a3a8e810496a39e776c35a60749a6277dc347a7d7e199450a8335c87""]",True
9,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_155729ed5825,train|test,test|train,"[0,0,""146214/431585"",""11633861839/3350914620"",""394/2365"",""8cab37c2a3a8e810496a39e776c35a60749a6277dc347a7d7e199450a8335c87""]","[0,0,""20882/61655"",""11544537199/3350914620"",""394/2365"",""996bff8e37876a5ca066a6b975937b5a08d7c56b4cb60c2303c545bf7c637f53""]",True
10,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_17ae6d886f10,test|train,train|test,"[0,0,""20882/61655"",""11544537199/3350914620"",""394/2365"",""996bff8e37876a5ca066a6b975937b5a08d7c56b4cb60c2303c545bf7c637f53""]","[0,0,""146144/431585"",""11544537199/3350914620"",""394/2365"",""589f16d5d40bcfcc25aabefb62cb481f739ecf83ce42bb58c11e190d6c76cd40""]",True
11,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_1ce2cbd827ee,train|test,test|train,"[0,0,""146144/431585"",""11544537199/3350914620"",""394/2365"",""589f16d5d40bcfcc25aabefb62cb481f739ecf83ce42bb58c11e190d6c76cd40""]","[0,0,""146094/431585"",""11455212559/3350914620"",""394/2365"",""a5db9e335f48b4ea6ab61755a56af90a5f7fbc7d8af3f0c1611dd77031ec665a""]",True
12,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_1cf6493ae947,test|train,train|test,"[0,0,""146094/431585"",""11455212559/3350914620"",""394/2365"",""a5db9e335f48b4ea6ab61755a56af90a5f7fbc7d8af3f0c1611dd77031ec665a""]","[0,0,""145974/431585"",""2854813814/837728655"",""394/2365"",""79e796471e810b813b2e63e4c2fc4f20a8249aba6922b81cbbdebcc15bd85a5b""]",True
13,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_1d4e70cb99cf,train|test,test|train,"[0,0,""145974/431585"",""2854813814/837728655"",""394/2365"",""79e796471e810b813b2e63e4c2fc4f20a8249aba6922b81cbbdebcc15bd85a5b""]","[0,0,""145944/431585"",""2832482654/837728655"",""394/2365"",""15de3454d8e96ebc502d3eebc7287b40e5c7c95c2d823d05ebbcab2bb3dda021""]",True
14,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_1e12b659d031,test|train,train|test,"[0,0,""145944/431585"",""2832482654/837728655"",""394/2365"",""15de3454d8e96ebc502d3eebc7287b40e5c7c95c2d823d05ebbcab2bb3dda021""]","[0,0,""145584/431585"",""3764657771/1116971540"",""394/2365"",""1810522223df1b71515276e3286038bb41e75f1986fbf19ad352b42150a5a168""]",True
15,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_1f421def47a3,train|validation,validation|train,"[0,0,""145584/431585"",""3764657771/1116971540"",""394/2365"",""1810522223df1b71515276e3286038bb41e75f1986fbf19ad352b42150a5a168""]","[0,0,""145504/431585"",""3759228391/1116971540"",""394/2365"",""30b877f334d2cf7518e3dec9d10ffd73113a21a7392021bf9a4e45e0d885c067""]",True
16,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_1fe3b980b48c,validation|train,train|validation,"[0,0,""145504/431585"",""3759228391/1116971540"",""394/2365"",""30b877f334d2cf7518e3dec9d10ffd73113a21a7392021bf9a4e45e0d885c067""]","[0,0,""20762/61655"",""1124172787/335091462"",""394/2365"",""07a76e05f834093b35015173d2dfd19aaf5dd7b6879e76e18fb4c088afa9a4e5""]",True
17,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_2257cfc962dd,train|test,test|train,"[0,0,""20762/61655"",""1124172787/335091462"",""394/2365"",""07a76e05f834093b35015173d2dfd19aaf5dd7b6879e76e18fb4c088afa9a4e5""]","[0,0,""7646/22715"",""1122543973/335091462"",""394/2365"",""7b1adb363da149c1d5a2beb1308785008b417519d3539d0682dadbab9be44baf""]",True
18,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_22ee4049cd25,test|train,train|test,"[0,0,""7646/22715"",""1122543973/335091462"",""394/2365"",""7b1adb363da149c1d5a2beb1308785008b417519d3539d0682dadbab9be44baf""]","[0,0,""144814/431585"",""1105660133/335091462"",""394/2365"",""8e4531894c71058e4a9fd89021f493c11782a0823a0b370fe7f402c5400de9ca""]",True
19,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_2f345bb500a0,train|validation,validation|train,"[0,0,""144814/431585"",""1105660133/335091462"",""394/2365"",""8e4531894c71058e4a9fd89021f493c11782a0823a0b370fe7f402c5400de9ca""]","[0,0,""144724/431585"",""1104031319/335091462"",""394/2365"",""c6f9b99ac781a4d90ebaaf5286c0b54014914451660af119a4d4b63d5dbe0b65""]",True
20,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_30a4d4e01b5c,validation|train,train|validation,"[0,0,""144724/431585"",""1104031319/335091462"",""394/2365"",""c6f9b99ac781a4d90ebaaf5286c0b54014914451660af119a4d4b63d5dbe0b65""]","[0,0,""143664/431585"",""90202427749/27812591346"",""394/2365"",""c7e9d5b81903dbb7c0e462198d110cf29b07a8f5d779c5b9134f0d6e415f52ca""]",True
21,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_30e4587ff4fe,train|test,test|train,"[0,0,""143664/431585"",""90202427749/27812591346"",""394/2365"",""c7e9d5b81903dbb7c0e462198d110cf29b07a8f5d779c5b9134f0d6e415f52ca""]","[0,0,""143604/431585"",""90067236187/27812591346"",""394/2365"",""4f62c7c541e04b70e197bf78cc06bbc83853424662bbdeada7268c8be5e82876""]",True
22,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_30ea05e068aa,test|train,train|test,"[0,0,""143604/431585"",""90067236187/27812591346"",""394/2365"",""4f62c7c541e04b70e197bf78cc06bbc83853424662bbdeada7268c8be5e82876""]","[0,0,""12974/39235"",""29555292489/9270863782"",""394/2365"",""4786ce4efd95daa7e41367b6215826ec20679aa8cf15070d76853e7a912aa722""]",True
23,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_32985646f961,train|validation,validation|train,"[0,0,""12974/39235"",""29555292489/9270863782"",""394/2365"",""4786ce4efd95daa7e41367b6215826ec20679aa8cf15070d76853e7a912aa722""]","[0,0,""142624/431585"",""29510228635/9270863782"",""394/2365"",""0c3b7f0eb8377719a584f8d6652dcc00367818c7369cdea0836b1a3665683c8a""]",True
24,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_33420a4f35bf,validation|train,train|validation,"[0,0,""142624/431585"",""29510228635/9270863782"",""394/2365"",""0c3b7f0eb8377719a584f8d6652dcc00367818c7369cdea0836b1a3665683c8a""]","[0,0,""338/1045"",""58310924217/18541727564"",""394/2365"",""4fcf45060d4afa61ea332ee204aad4323a1aef3bbecde45aec451f8c0078ef24""]",True
25,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_4b6f9072e8e4,train|validation,validation|train,"[0,0,""338/1045"",""58310924217/18541727564"",""394/2365"",""4fcf45060d4afa61ea332ee204aad4323a1aef3bbecde45aec451f8c0078ef24""]","[0,0,""139534/431585"",""58220796509/18541727564"",""394/2365"",""cb7fd5b9eaa2474d274b05f46c213f7b9d7916f6b127be6ba47c025ace718f31""]",True
26,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_4bc96374eedd,validation|test,test|validation,"[0,0,""139534/431585"",""58220796509/18541727564"",""394/2365"",""cb7fd5b9eaa2474d274b05f46c213f7b9d7916f6b127be6ba47c025ace718f31""]","[0,0,""139534/431585"",""58220796509/18541727564"",""394/2365"",""8a7f48e4e4f6b7535a1c9b945c227a94aaf2d04734f837b8934f27ee4e74996b""]",True
27,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_4c8207aae820,test|train,train|test,"[0,0,""139534/431585"",""58220796509/18541727564"",""394/2365"",""8a7f48e4e4f6b7535a1c9b945c227a94aaf2d04734f837b8934f27ee4e74996b""]","[0,0,""136174/431585"",""14377815864/4635431891"",""394/2365"",""83cac5c83d9a641a6fa6d253b14e26c1405edbd0379da2f42feb1d25e47b1b6f""]",True
28,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_4f183813675e,train|test,test|train,"[0,0,""136174/431585"",""14377815864/4635431891"",""394/2365"",""83cac5c83d9a641a6fa6d253b14e26c1405edbd0379da2f42feb1d25e47b1b6f""]","[0,0,""136084/431585"",""14355283937/4635431891"",""394/2365"",""86c15c776f3c6456f2a5a227feefe54c8ef5cf48bee1193687d25aa52285ecd0""]",True
29,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_4f8f7d4e5791,test|train,train|test,"[0,0,""136084/431585"",""14355283937/4635431891"",""394/2365"",""86c15c776f3c6456f2a5a227feefe54c8ef5cf48bee1193687d25aa52285ecd0""]","[0,0,""133414/431585"",""56711602695/18541727564"",""394/2365"",""475c8ca9f092e4253a30451026540be6bb58b1044d19623a6d69833350bfce30""]",True
30,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_526f41306d38,train|test,test|train,"[0,0,""133414/431585"",""56711602695/18541727564"",""394/2365"",""475c8ca9f092e4253a30451026540be6bb58b1044d19623a6d69833350bfce30""]","[0,0,""133374/431585"",""56217339687/18541727564"",""394/2365"",""57b10ed6c089dfa415985eec53b730309defd1887ab1bdab7b2daad007f525b9""]",True
31,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_592ce44ebce1,test|train,train|test,"[0,0,""133374/431585"",""56217339687/18541727564"",""394/2365"",""57b10ed6c089dfa415985eec53b730309defd1887ab1bdab7b2daad007f525b9""]","[0,0,""132854/431585"",""165849301621/55625182692"",""394/2365"",""8ad914cc38a97b8765f4cd549ca42ed34b6bd90f1c8df7b13d17315e418b31fa""]",True
32,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_5ee4510c7000,train|test,test|train,"[0,0,""132854/431585"",""165849301621/55625182692"",""394/2365"",""8ad914cc38a97b8765f4cd549ca42ed34b6bd90f1c8df7b13d17315e418b31fa""]","[0,0,""132824/431585"",""164366512597/55625182692"",""394/2365"",""4e9fe19a03e4823707db7ebe51d7c6650ad49477e53d76426e019167d19fb52c""]",True
33,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_6260999fea64,test|train,train|test,"[0,0,""132824/431585"",""164366512597/55625182692"",""394/2365"",""4e9fe19a03e4823707db7ebe51d7c6650ad49477e53d76426e019167d19fb52c""]","[0,0,""12044/39235"",""204712026709/69531478365"",""394/2365"",""bf9a4e4785843a738f627afa59b0e710bab7f689cf3a2973cb5005217232e6ee""]",True
34,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_62b6fb672999,train|validation,validation|train,"[0,0,""12044/39235"",""204712026709/69531478365"",""394/2365"",""bf9a4e4785843a738f627afa59b0e710bab7f689cf3a2973cb5005217232e6ee""]","[0,0,""132404/431585"",""204374047804/69531478365"",""394/2365"",""7cb280fb4ced917d1d6fbac4ce11935ec47fbc116264f61b8f3afaf4784e9ac2""]",True
35,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_6410ad751165,validation|train,train|validation,"[0,0,""132404/431585"",""204374047804/69531478365"",""394/2365"",""7cb280fb4ced917d1d6fbac4ce11935ec47fbc116264f61b8f3afaf4784e9ac2""]","[0,0,""18372/61655"",""806853195421/278125913460"",""394/2365"",""0ed8b3f09f4962f79cc3d7dcd14ad49ea88484bb70a27cba05fe67ed4e84ebfc""]",True
36,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_67a4ca9c3dec,train|test,test|train,"[0,0,""18372/61655"",""806853195421/278125913460"",""394/2365"",""0ed8b3f09f4962f79cc3d7dcd14ad49ea88484bb70a27cba05fe67ed4e84ebfc""]","[0,0,""11684/39235"",""805501279801/278125913460"",""394/2365"",""4276b8641edf814a24ffe8fda40e57a12dff7aa5945ae1d27c94399cdefd9fc7""]",True
37,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_698e28e66f64,test|train,train|test,"[0,0,""11684/39235"",""805501279801/278125913460"",""394/2365"",""4276b8641edf814a24ffe8fda40e57a12dff7aa5945ae1d27c94399cdefd9fc7""]","[0,0,""127924/431585"",""263829230867/92708637820"",""394/2365"",""c112b2db0f1b9ea6a6d6cf6c6d27fea64baae9bd622344a1d3030d8ebeb6f6a2""]",True
38,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_6a03e1703dcb,train|validation,validation|train,"[0,0,""127924/431585"",""263829230867/92708637820"",""394/2365"",""c112b2db0f1b9ea6a6d6cf6c6d27fea64baae9bd622344a1d3030d8ebeb6f6a2""]","[0,0,""127894/431585"",""261357915827/92708637820"",""394/2365"",""0d70741450b36ddb64031f6b76ba183318a90e5187505b72f82e80c6c4a14898""]",True
39,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_6b696b6d58d4,validation|train,train|validation,"[0,0,""127894/431585"",""261357915827/92708637820"",""394/2365"",""0d70741450b36ddb64031f6b76ba183318a90e5187505b72f82e80c6c4a14898""]","[0,0,""124934/431585"",""128905125281/46354318910"",""394/2365"",""70ed254b80ef933fb48e7d03c00b024989b8f05f12709152d6fb270145e1ade4""]",True
40,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_77ae051c673b,train|test,test|train,"[0,0,""124934/431585"",""128905125281/46354318910"",""394/2365"",""70ed254b80ef933fb48e7d03c00b024989b8f05f12709152d6fb270145e1ade4""]","[0,0,""124874/431585"",""128978866133/46354318910"",""394/2365"",""477d6a2c738dbf4b8c6280e30e7ed9e35a703b06495e44ae12d2ba0234bfdbdb""]",True
41,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_79a71bcd645c,test|train,train|test,"[0,0,""124874/431585"",""128978866133/46354318910"",""394/2365"",""477d6a2c738dbf4b8c6280e30e7ed9e35a703b06495e44ae12d2ba0234bfdbdb""]","[0,0,""121074/431585"",""254410067001/92708637820"",""394/2365"",""db8ef2546b9351cc8bf89f600e0644301e761e1bd3fce2c6c8c83e67d4a9e1c5""]",True
42,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_8018479382da,train|validation,validation|train,"[0,0,""121074/431585"",""254410067001/92708637820"",""394/2365"",""db8ef2546b9351cc8bf89f600e0644301e761e1bd3fce2c6c8c83e67d4a9e1c5""]","[0,0,""1572/5605"",""251938751961/92708637820"",""394/2365"",""c826547dde2af06425cd78abe30c2ac17871c58b6a8fa8d22a4ded95944a1f40""]",True
43,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_80e3e97ddc76,validation|train,train|validation,"[0,0,""1572/5605"",""251938751961/92708637820"",""394/2365"",""c826547dde2af06425cd78abe30c2ac17871c58b6a8fa8d22a4ded95944a1f40""]","[0,0,""120314/431585"",""741802668683/278125913460"",""394/2365"",""8f5cb2cb8de7c62b47d5c8aa6faaab53ed360edd68efad9313efb41173e54c70""]",True
44,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_89f70e3cf134,train|validation,validation|train,"[0,0,""120314/431585"",""741802668683/278125913460"",""394/2365"",""8f5cb2cb8de7c62b47d5c8aa6faaab53ed360edd68efad9313efb41173e54c70""]","[0,0,""120244/431585"",""740450753063/278125913460"",""394/2365"",""aa33330be867417d4c4bc5cfab0ec48d2d7d6281d28d3ab31291590e264bfd9c""]",True
45,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_8a181477b3c9,validation|train,train|validation,"[0,0,""120244/431585"",""740450753063/278125913460"",""394/2365"",""aa33330be867417d4c4bc5cfab0ec48d2d7d6281d28d3ab31291590e264bfd9c""]","[0,0,""17172/61655"",""740450753063/278125913460"",""394/2365"",""98c331521374ecf4112a372af825017ccf086455a3f2bb4b8f6cee8283b6e2a9""]",True
46,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_8f96bd0f52c8,train|test,test|train,"[0,0,""17172/61655"",""740450753063/278125913460"",""394/2365"",""98c331521374ecf4112a372af825017ccf086455a3f2bb4b8f6cee8283b6e2a9""]","[0,0,""2036/7315"",""748070641103/278125913460"",""394/2365"",""55e745850c68901fb0bfa92fd7f7b524027efbaa86bbf3527e38de8ce3099e64""]",True
47,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_9061ad6d2b9f,test|train,train|test,"[0,0,""2036/7315"",""748070641103/278125913460"",""394/2365"",""55e745850c68901fb0bfa92fd7f7b524027efbaa86bbf3527e38de8ce3099e64""]","[0,0,""119134/431585"",""733748923823/278125913460"",""394/2365"",""d45a926fb27c731755fa4069634c48230b7e0c24a0c8d1e19ec01b07c1c15c65""]",True
48,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_9fa405d7899d,train|validation,validation|train,"[0,0,""119134/431585"",""733748923823/278125913460"",""394/2365"",""d45a926fb27c731755fa4069634c48230b7e0c24a0c8d1e19ec01b07c1c15c65""]","[0,0,""119044/431585"",""735985729667/278125913460"",""394/2365"",""ec0a33dee15138fea6974bc5601c1809bdc39a66d8636c11059d8da2d0797aaf""]",True
49,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_a12b3ace65f7,validation|train,train|validation,"[0,0,""119044/431585"",""735985729667/278125913460"",""394/2365"",""ec0a33dee15138fea6974bc5601c1809bdc39a66d8636c11059d8da2d0797aaf""]","[0,0,""117004/431585"",""181335683468/69531478365"",""394/2365"",""06ea68e552e83f3d0eca67774907379abe01e9fdf767ffb5ab38f216af974d45""]",True
50,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_a84426352825,train|validation,validation|train,"[0,0,""117004/431585"",""181335683468/69531478365"",""394/2365"",""06ea68e552e83f3d0eca67774907379abe01e9fdf767ffb5ab38f216af974d45""]","[0,0,""6156/22715"",""182113117991/69531478365"",""394/2365"",""654c7feaf58843c802e4e306343f90e3cd29b934c003c244812ea1faad614184""]",True
51,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_a8a5748ba6c0,validation|train,train|validation,"[0,0,""6156/22715"",""182113117991/69531478365"",""394/2365"",""654c7feaf58843c802e4e306343f90e3cd29b934c003c244812ea1faad614184""]","[0,0,""114524/431585"",""717809476169/278125913460"",""394/2365"",""48ca0b9cb5b845beef12ee8128ce2b7a0fa9f634c4ef9a932b62877a9e6b6353""]",True
